Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
AsymmetricTop,Ground,8,O+,1,Ground,8,O-,1,21542.7028990422,3.12766592994757E-7,416544.81438133,395002.111482288,0.0795386782727557,1.63339551325133E-9,0,"qQ1,8(8)",v=0  8  1  7 - v=0  8  1  8
AsymmetricTop,Ground,15,E+,2,Ground,15,E-,1,21742.7656361568,3.75213612774383E-7,1388529.378519,1366786.61288284,0.149339900225446,1.72909896449958E-9,0,"qQ2,14(15)",v=0 15  2 13 - v=0 15  2 14
AsymmetricTop,Ground,2,O+,1,Ground,1,O+,1,21800,2.39225510174375E-6,57400,35600,0.5,3.61768554477242E-8,0,"qR1,0(1)",v=0  2  1  1 - v=0  1  1  0
AsymmetricTop,Ground,40,O+,3,Ground,40,O-,3,22251.6241887882,1.86373594093533E-8,9376711.70692755,9354460.08273877,0.327416003330654,1.55511090624327E-9,0,"qQ5,36(40)",v=0 40  5 35 - v=0 40  5 36
AsymmetricTop,Ground,23,O+,2,Ground,23,O-,2,22382.8867044826,2.38860082351492E-7,3176920.94467945,3154538.05797497,0.211603698191111,1.7629297989053E-9,0,"qQ3,21(23)",v=0 23  3 20 - v=0 23  3 21
AsymmetricTop,Ground,20,E+,1,Ground,19,E+,2,22733.5632831207,6.6097806684366E-9,2171451.13465632,2148717.5713732,0.00350314947288688,3.50540889068681E-11,0,"oR2,17(19)",v=0 20  0 20 - v=0 19  2 17
AsymmetricTop,Ground,49,E+,4,Ground,49,E-,3,22814.572537832,2.49593857478012E-9,13971933.6875536,13949119.1150158,0.378411952764944,1.58499535301106E-9,0,"qQ6,44(49)",v=0 49  6 43 - v=0 49  6 44
AsymmetricTop,Ground,15,E+,1,Ground,14,E+,2,24201.4665190019,1.73721348274421E-8,1250169.59058288,1225968.12406388,0.00521917467751216,8.33348239724575E-11,0,"oR2,12(14)",v=0 15  0 15 - v=0 14  2 12
AsymmetricTop,Ground,25,E+,2,Ground,24,E+,3,24717.1104420787,7.74386585485152E-9,3613323.53629198,3588606.4258499,0.00693249131748455,7.16759712055726E-11,0,"oR4,20(24)",v=0 25  2 23 - v=0 24  4 20
AsymmetricTop,Ground,19,E+,1,Ground,18,E+,2,25052.3341699077,9.851299053865E-9,1967308.20956901,1942255.8753991,0.00389594154524303,5.48471097883087E-11,0,"oR2,16(18)",v=0 19  0 19 - v=0 18  2 16
AsymmetricTop,Ground,32,E+,3,Ground,32,E-,2,25523.2742365161,9.69301351444506E-8,6041416.57260322,6015893.29836671,0.260923187879693,2.33061111584381E-9,0,"qQ4,29(32)",v=0 32  4 28 - v=0 32  4 29
AsymmetricTop,Ground,13,O+,2,Ground,14,O+,1,25852.8282926611,9.73354744998599E-9,1189443.89837554,1163591.07008287,0.00248804153912632,5.56005876392466E-11,0,"sP1,13(14)",v=0 13  3 10 - v=0 14  1 13
AsymmetricTop,Ground,16,E+,1,Ground,15,E+,2,26016.6146592249,1.77923536471116E-8,1414545.99317822,1388529.378519,0.00500305216852092,9.32255123587952E-11,0,"oR2,13(15)",v=0 16  0 16 - v=0 15  2 13
AsymmetricTop,Ground,18,E+,1,Ground,17,E+,2,26405.5852927121,1.32559669113911E-8,1773113.1921822,1746707.60688949,0.0042975212444216,7.46732471242192E-11,0,"oR2,15(17)",v=0 18  0 18 - v=0 17  2 15
AsymmetricTop,Ground,6,E+,2,Ground,7,E+,1,26638.1120648426,8.54728901129935E-9,322077.794793092,295439.682728249,0.00135693248357925,6.88948161467626E-11,0,"sP0,7(7)",v=0  6  2  4 - v=0  7  0  7
AsymmetricTop,Ground,17,E+,1,Ground,16,E+,2,26741.2365768962,1.61741799754457E-8,1588860.39019025,1562119.15361336,0.00467970976016595,8.92805108364559E-11,0,"oR2,14(16)",v=0 17  0 17 - v=0 16  2 14
AsymmetricTop,Ground,9,O+,1,Ground,9,O-,1,26885.6449624199,4.18745896426553E-7,514299.943013501,487414.298051081,0.0715624351334075,2.55596098882136E-9,0,"qQ1,9(9)",v=0  9  1  8 - v=0  9  1  9
AsymmetricTop,Ground,16,E+,2,Ground,16,E-,1,26908.5224925163,4.86606475855017E-7,1562119.15361336,1535210.63112084,0.137267173754381,2.82998179418902E-9,0,"qQ2,15(16)",v=0 16  2 14 - v=0 16  2 15
AsymmetricTop,Ground,41,O+,3,Ground,41,O-,3,27186.0858171452,2.13751141923781E-8,9819712.63250043,9792526.54668328,0.310794134079744,2.627217965021E-9,0,"qQ5,37(41)",v=0 41  5 36 - v=0 41  5 37
AsymmetricTop,Ground,24,O+,2,Ground,24,O-,2,27526.4926771428,2.9778975729115E-7,3436811.30646208,3409284.81378493,0.197356452716513,2.93338603758705E-9,0,"qQ3,22(24)",v=0 24  3 21 - v=0 24  3 22
AsymmetricTop,Ground,50,E+,4,Ground,50,E-,3,27755.5433844719,2.72397443630501E-9,14512003.8411076,14484248.2977232,0.361167996994105,2.66992107253297E-9,0,"qQ6,45(50)",v=0 50  6 44 - v=0 50  6 45
AsymmetricTop,Ground,28,E+,2,Ground,29,E+,1,30143.9470364144,1.59682315667644E-9,4487497.35060691,4457353.40357049,0.00146022398894402,2.45022694290558E-11,0,"sP0,29(29)",v=0 28  2 26 - v=0 29  0 29
AsymmetricTop,Ground,19,O+,1,Ground,18,O+,2,30182.9582595145,2.60019779120798E-8,2075264.50622669,2045081.54796718,0.0074518380634307,1.83461755456145E-10,0,"oR3,15(18)",v=0 19  1 18 - v=0 18  3 15
AsymmetricTop,Ground,3,O-,1,Ground,2,O-,1,30893.2299189268,8.44052860212E-6,86493.2299189268,55600,0.888858711149514,1.30733225560368E-7,0,"qR1,2(2)",v=0  3  1  3 - v=0  2  1  2
AsymmetricTop,Ground,33,E+,3,Ground,33,E-,2,31035.5859474484,1.13877483233725E-7,6398597.75280945,6367562.166862,0.24576248338653,3.82897001661784E-9,0,"qQ4,30(33)",v=0 33  4 29 - v=0 33  4 30
AsymmetricTop,Ground,28,O+,3,Ground,29,O+,2,31754.6870432356,4.26337182401958E-9,4934957.9497466,4903203.26270337,0.00435307064058101,8.53897424606489E-11,0,"sP3,26(29)",v=0 28  5 23 - v=0 29  3 26
AsymmetricTop,Ground,3,E+,1,Ground,2,E+,1,31756.3042965538,0.0000101441447575206,63545.3743316159,31789.0700350621,0.999705520833144,1.59707476903105E-7,0,"qR0,2(2)",v=0  3  0  3 - v=0  2  0  2
AsymmetricTop,Ground,3,E-,1,Ground,2,E-,1,31800,5.39095382521775E-6,162400,130600,0.555555555555555,8.91193783827703E-8,0,"qR2,1(2)",v=0  3  2  2 - v=0  2  2  1
AsymmetricTop,Ground,3,E+,2,Ground,2,E+,2,31843.6957034462,5.40569562114686E-6,162454.625668384,130610.929964938,0.555555691225193,8.94872763894831E-8,0,"qR2,0(2)",v=0  3  2  1 - v=0  2  2  0
AsymmetricTop,Ground,3,O+,1,Ground,2,O+,1,32693.1054521695,9.44044679670905E-6,90093.1054521695,57400,0.888857591363884,1.54940161933859E-7,0,"qR1,1(2)",v=0  3  1  2 - v=0  2  1  1
AsymmetricTop,Ground,17,E+,2,Ground,17,E-,1,32705.7398094211,6.08647590100425E-7,1746707.60688949,1714001.86708006,0.126810254307027,4.42608342104564E-9,0,"qQ2,16(17)",v=0 17  2 15 - v=0 17  2 16
AsymmetricTop,Ground,10,O+,1,Ground,10,O-,1,32788.2375862746,5.3997317264167E-7,622812.52549553,590024.287909255,0.0652697604769236,3.82567680688164E-9,0,"qQ1,10(10)",v=0 10  1  9 - v=0 10  1 10
AsymmetricTop,Ground,42,O+,3,Ground,42,O-,3,32874.6184767932,2.38621158457922E-8,10274113.9261042,10241239.3076274,0.294687147623497,4.30116167320072E-9,0,"qQ5,38(42)",v=0 42  5 37 - v=0 42  5 38
AsymmetricTop,Ground,20,E+,3,Ground,21,E+,2,33234.664844872,1.02707978528975E-8,2627398.80734561,2594164.14250074,0.00316201493486863,9.88587931484576E-11,0,"sP2,19(21)",v=0 20  4 16 - v=0 21  2 19
AsymmetricTop,Ground,25,O+,2,Ground,25,O-,2,33363.015585301,3.59233421454314E-7,3707878.56337223,3674515.54778693,0.184322305800631,4.6866761778745E-9,0,"qQ3,23(25)",v=0 25  3 22 - v=0 25  3 23
